budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,director_popularity,actor_popularity,writer_popularity
40000000,Millennium Films,USA,Ric Roman Waugh,Action,146661977,Angel Has Fallen,R,28/08/19,121,6.4,Gerard Butler,72741,Robert Mark Kamen,2019,1.473,9.401,4.585
2500000,Mind the GAP Productions,USA,Lin Oeding,Action,165623,Office Uprising,UNRATED,19/06/18,92,6,Brenton Thwaites,8023,Ian Shorr,2018,1.473,4.795,1.528
100000,Sailor Bear,USA,David Lowery,Drama,1951683,A Ghost Story,R,27/07/17,92,6.9,Casey Affleck,58011,David Lowery,2017,0.6,6.662,0.6
50000000,Twentieth Century Fox,USA,Steven Spielberg,Drama,192938646,The Post,R,1/02/18,116,7.2,Meryl Streep,130017,Liz Hannah,2017,8.787,9.5,0.694
160000000,Columbia Pictures,USA,Jon Watts,Action,1131927996,Spider-Man: Far from Home,G,10/07/19,129,7.5,Tom Holland,304708,Chris McKenna,2019,1.676,12.137,2.465
14000000,Screen Gems,USA,Babak Najafi,Action,21753365,Proud Mary,R,12/01/18,89,4.9,Taraji P. Henson,8442,John Stuart Newman,2018,0.84,4.65,0.6
9000000,Alloy Entertainment,USA,Ry Russo-Young,Drama,6750029,The Sun Is Also a Star,R,8/08/19,100,5.8,Yara Shahidi,5569,Tracy Oliver,2019,0.94,3.614,0.7
185000000,Paramount Pictures,USA,Tim Miller,Action,261119292,Terminator - Dark Fate,R,31/10/19,128,6.2,Linda Hamilton,132793,David S. Goyer,2019,1.422,4.507,3.787
10000000,Destro Films,USA,Kevin Smith,Comedy,4691248,Jay and Silent Bob Reboot,R,29/11/19,105,5.7,Joey Lauren Adams,17551,Kevin Smith,2019,2.618,1.878,0.6
4000000,Webber Films,USA,Josh Webber,Drama,105271,Never Heard,UNRATED,16/11/18,89,5.3,David Banner,383,Tamera Hill,2018,0.6,1.4,0.6
5000000,Beck Woods,USA,Scott Beck,Horror,2233978,Haunt,R,13/09/19,92,6.3,Katie Stevens,16775,Scott Beck,2019,0.6,1.473,1.614
8000000,Screen Gems,USA,Deon Taylor,Drama,36973503,The Intruder,R,3/05/19,102,5.6,Michael Ealy,12126,David Loughery,2019,0.98,9.556,1.96
3500000,Blumhouse Productions,USA,Jeff Wadlow,Horror,95330493,Truth or Dare,R,21/06/18,100,5.2,Lucy Hale,45088,Michael Reisz,2018,0.6,4.526,1.009
29000000,Hartbeat Productions,USA,Malcolm D. Lee,Comedy,103105878,Night School,R,8/11/18,111,5.6,Kevin Hart,32865,Kevin Hart,2018,1.22,5.192,0.6
200000000,Chris Morgan Productions,USA,David Leitch,Action,759056935,Fast & Furious - Hobbs & Shaw,R,8/08/19,137,6.4,Dwayne Johnson,158617,Chris Morgan,2019,2.57,28.024,1.4
9000000,Annapurna Pictures,USA,Karyn Kusama,Action,5580940,Destroyer,R,6/06/19,121,6.2,Nicole Kidman,23655,Phil Hay,2018,1.586,13.3,1.166
6000000,Will Packer Productions,USA,James McTeigue,Action,51411620,Breaking in,PG-13,26/07/18,88,5.4,Gabrielle Union,13606,Ryan Engle,2018,0.937,2.765,0.652
1500000,Fingerprint Releasing,USA,Steven Soderbergh,Drama,14293601,Unsane,R,5/07/18,98,6.4,Joshua Leonard,38858,Jonathan Bernstein,2018,4.007,1.69,1.4
