budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,director_popularity,actor_popularity,writer_popularity
46000000,TriStar Pictures,USA,P.J. Hogan,Comedy,127120029,My Best Friend's Wedding,PG-13,20/06/97,105,6.3,Julia Roberts,106240,Ronald Bass,1997,0.6,1.949,0.615
24000000,Dimension Films,USA,Wes Craven,Horror,101363301,Scream 2,R,12/12/97,120,6.1,Neve Campbell,133216,Kevin Williamson,1997,3.58,4.386,0.938
45000000,Cinema Line Film Corporation,USA,Luis Llosa,Action,65885767,Anaconda,PG-13,11/04/97,89,4.7,Jon Voight,79593,Hans Bauer,1997,1.623,3.072,0.84
55000000,Walt Disney Pictures,USA,Sam Weisman,Action,105263257,George of the Jungle,PG,16/07/97,92,5.4,Brendan Fraser,60243,Jay Ward,1997,0.608,4.317,0.84
85000000,Columbia Pictures Corporation,USA,Wolfgang Petersen,Action,172956409,Air Force One,R,25/07/97,124,6.5,Harrison Ford,155674,Andrew W. Marlowe,1997,1.721,11.644,0.75
30000000,Dimension Films,USA,Guillermo del Toro,Horror,25480490,Mimic,R,22/08/97,105,5.9,Mira Sorvino,39195,Donald A. Wollheim,1997,4.449,4.708,0.6
50000000,Caravan Pictures,USA,Ridley Scott,Action,48169156,G.I. Jane,R,22/08/97,125,5.9,Demi Moore,64233,Danielle Alexandra,1997,3.975,4.269,0.6
250000,Too Askew Prod. Inc.,USA,Kevin Smith,Comedy,12006514,Chasing Amy,R,18/04/97,113,7.3,Ben Affleck,119658,Kevin Smith,1997,1.752,3.929,0.6
18000000,Fox Searchlight Pictures,USA,Ang Lee,Drama,7837632,The Ice Storm,R,26/11/97,112,7.5,Kevin Kline,48479,Rick Moody,1997,1.24,5.903,0.6
15000000,Baltimore Pictures,USA,Barry Levinson,Comedy,43022524,Wag the Dog,R,9/01/98,97,7.1,Dustin Hoffman,70832,Larry Beinhart,1997,1.854,1.83,0.694
68000000,Paramount Pictures,USA,Phillip Noyce,Action,61355436,The Saint,PG-13,4/04/97,116,6.2,Val Kilmer,54546,Leslie Charteris,1997,0.84,5.748,1.38
25000000,Warner Bros.,USA,Stephen Kessler,Comedy,36429528,Vegas Vacation,PG,14/02/97,93,5.9,Chevy Chase,36231,Elisa Bell,1997,0.6,21.188,0.6
86000000,Columbia Pictures Corporation,USA,Alan J. Pakula,Action,42868348,The Devil's Own,R,26/03/97,111,6.1,Harrison Ford,49303,Kevin Jarre,1997,1.306,10.4,0.6
75000000,Warner Bros.,USA,Richard Donner,Action,75982834,Conspiracy Theory,R,8/08/97,135,6.7,Mel Gibson,81477,Brian Helgeland,1997,2.226,9.839,0.99
38000000,DreamWorks,USA,Gore Verbinski,Comedy,61917389,Mousehunt,PG,19/12/97,98,6.4,Nathan Lane,44226,Adam Rifkin,1997,3.384,6.367,1.286
50000000,DreamWorks,USA,Mimi Leder,Action,41263140,The Peacemaker,R,26/09/97,124,5.9,George Clooney,48476,Leslie Cockburn,1997,0.84,5.861,0.6
60000000,Warner Bros.,USA,Félix Enríquez Alcalá,Action,16228448,Fire Down Below,R,5/09/97,105,5,Steven Seagal,14530,Jeb Stuart,1997,0.681,37.331,1.435
30000000,Mandalay Entertainment,USA,Hark Tsui,Action,11438337,Double Team,R,4/04/97,93,4.7,Jean-Claude Van Damme,26927,Don Jakoby,1997,3.224,2.902,0.608
20000000,Columbia Pictures Corporation,USA,Marco Brambilla,Action,14327206,Excess Baggage,PG-13,29/08/97,101,5.3,Alicia Silverstone,11399,Max D. Adams,1997,0.6,2.169,0.6
35000000,Icon Entertainment International,USA,Bernard Rose,Drama,791830,Anna Karenina,PG-13,4/04/97,108,6.4,Sophie Marceau,4851,Leo Tolstoy,1997,1.293,7.252,1.306
